1880,-0.02
1881,0.01
1882,0.00
1883,-0.04
1884,-0.14
1885,-0.17
1886,-0.17
1887,-0.23
1888,-0.05
1889,-0.02
1890,-0.29
1891,-0.15
1892,-0.23
1893,-0.24
1894,-0.27
1895,-0.17
1896,0.00
1897,-0.03
1898,-0.22
1899,-0.13
1900,-0.05
1901,-0.17
1902,-0.24
1903,-0.37
1904,-0.46
1905,-0.25
1906,-0.22
1907,-0.29
1908,-0.43
1909,-0.45
1910,-0.42
1911,-0.43
1912,-0.28
1913,-0.32
1914,-0.17
1915,-0.10
1916,-0.26
1917,-0.29
1918,-0.21
1919,-0.21
1920,-0.18
1921,-0.17
1922,-0.24
1923,-0.24
1924,-0.24
1925,-0.19
1926,-0.10
1927,-0.16
1928,-0.20
1929,-0.27
1930,-0.11
1931,-0.08
1932,-0.17
1933,-0.22
1934,-0.13
1935,-0.15
1936,-0.12
1937,-0.01
1938,-0.10
1939,-0.03
1940,0.20
1941,0.35
1942,0.13
1943,0.12
1944,0.32
1945,0.30
1946,-0.01
1947,-0.07
1948,-0.10
1949,-0.08
1950,-0.09
1951,0.02
1952,0.08
1953,0.10
1954,-0.09
1955,-0.13
1956,-0.10
1957,0.11
1958,0.12
1959,0.08
1960,0.07
1961,0.09
1962,0.09
1963,0.08
1964,-0.11
1965,-0.05
1966,0.01
1967,-0.01
1968,0.01
1969,0.17
1970,0.06
1971,-0.09
1972,0.11
1973,0.14
1974,-0.02
1975,-0.04
1976,-0.01
1977,0.19
1978,0.12
1979,0.24
1980,0.26
1981,0.25
1982,0.22
1983,0.30
1984,0.20
1985,0.18
1986,0.21
1987,0.36
1988,0.32
1989,0.27
1990,0.37
1991,0.33
1992,0.23
1993,0.25
1994,0.29
1995,0.35
1996,0.31
1997,0.47
1998,0.52
1999,0.31
2000,0.34
2001,0.46
2002,0.49
2003,0.52
2004,0.49
2005,0.50
2006,0.50
2007,0.43
2008,0.41
2009,0.54
2010,0.56
2011,0.44
2012,0.51
2013,0.54
2014,0.63
2015,0.75
2016,0.79
2017,0.72
2018,0.68
2019,0.77
